year,release_date,title,genre,international_box_office,domestic_box_office,worldwide_box_office,production_budget,,opening_weekend,theatre_count,avg run per theatre,runtime,keywords,creative_type,url
2015,January 23rd,Miss Hill: Making Dance Matter,Documentary,,4706.00,,,,2560.00,1,4.00,80,Dancing,Factual,https://www.the-numbers.com/movie/Miss-Hill-Making-Dance-Matter
2015,January 23rd,MeÃƒÂ±ique y el espejo mÃƒÂ¡gico,Adventure,978681.00,n/a,978681.00,,,,,,,,Kids Fiction,https://www.the-numbers.com/movie/Menique-y-el-espejo-magico
2015,January 23rd,KÃƒÂ¶stebekgiller: Perili Orman,Adventure,675127.00,n/a,675127.00,,,,,,,,Kids Fiction,https://www.the-numbers.com/movie/Kostebekgiller-Perili-Orman-(Turkey)-(2015)
2015,January 23rd,Manny,Documentary,,n/a,,,,,,,112,Boxing,Factual,https://www.the-numbers.com/movie/Manny
2015,January 23rd,The Humbling,Drama,341495.00,n/a,341495.00,,,,,,113,Theater Actor,Contemporary Fiction,https://www.the-numbers.com/movie/Humbling-The
2015,January 23rd,Kisejuu: Part 1,Horror,9352004.00,n/a,9352004.00,,,,,,109,,Science Fiction,https://www.the-numbers.com/movie/Kiseijuu
2015,January 23rd,Il nome del figlio,Comedy,3219309.00,n/a,3219309.00,,,,,,94,,Contemporary Fiction,https://www.the-numbers.com/movie/Il-nome-del-figlio-(Italy)-(2015)
2015,January 23rd,Hiszpanka,Action,194591.00,n/a,194591.00,,,,,,127,,Historical Fiction,https://www.the-numbers.com/movie/Hiszpanka-(Poland)
2015,January 23rd,Gangnam 1970,Action,16016282.00,n/a,16016282.00,,,,,,135,,,https://www.the-numbers.com/movie/Gangnam-1970-(South-Korea)-(2015)
2015,January 23rd,Homies,Comedy,1810644.00,n/a,1810644.00,,,,,,100,,Contemporary Fiction,https://www.the-numbers.com/movie/Homies-(Netherlands)-(2015)
2015,January 23rd,Killers,Action,,n/a,,,,,,,137,Serial Killer,Contemporary Fiction,https://www.the-numbers.com/movie/Killers-(2014)
2015,January 23rd,Discount,Comedy,1417767.00,n/a,1417767.00,,,,,,102,,,https://www.the-numbers.com/movie/Discount-(France)-(2015)
2015,January 23rd,The Duke of Burgundy,Drama,121802.00,56657.00,178459.00,,,11902.00,3,3.10,106,Romance,Contemporary Fiction,https://www.the-numbers.com/movie/Duke-of-Burgundy-The
2016,January 8th,Trust Fund,Drama,,n/a,,,,,,,100,Inheritance,Contemporary Fiction,https://www.the-numbers.com/movie/Trust-Fund
2015,January 23rd,Dolly Ki Doli,Comedy,,n/a,,,,,,,100,Bollywood,Contemporary Fiction,https://www.the-numbers.com/movie/Dolly-Ki-Doli
2016,January 8th,Summer Camp,Horror,1490703.00,n/a,1490703.00,,,,,,,,Science Fiction,https://www.the-numbers.com/movie/Summer-Camp
2016,January 8th,Moje cÃƒÂ³rki krowy,Comedy,3097650.00,n/a,3097650.00,,,,,,88,,Contemporary Fiction,https://www.the-numbers.com/movie/Moje-corki-krowy-(Poland)
2016,January 8th,Troublemakers: The Story of Land Art,Documentary,9109.00,29462.00,38571.00,,,5424.00,4,4.60,72,Desert,Factual,https://www.the-numbers.com/movie/Troublemakers-The-Story-of-Land-Art
2016,January 8th,Pinku to gurÃƒÂª,Drama,4215944.00,n/a,4215944.00,,,,,,119,,Contemporary Fiction,https://www.the-numbers.com/movie/Pinku-to-gure-(Japan)-(2016)
2016,January 8th,Lamb,Drama,16402.00,14547.00,30949.00,,,3150.00,2,1.00,97,Directing Yourself,Contemporary Fiction,https://www.the-numbers.com/movie/Lamb-(2015)
2016,January 8th,The Masked Saint,Action,,182695.00,,3500000.00,,123839.00,482,1.10,111,Faith-Based Film,Contemporary Fiction,https://www.the-numbers.com/movie/Masked-Saint-The
